item,domain,n_lineages,fit_lineages,r2,n_draws
nn_hewantedto_8abd471d,power,50,1,-1.8878783876334617,60
nn_hewantedto_8abd471d,power,50,2,-0.8430198691686213,60
nn_hewantedto_8abd471d,power,50,4,-0.19965425237380122,60
nn_hewantedto_8abd471d,power,50,8,0.11199578032214695,60
nn_hewantedto_8abd471d,power,50,12,0.20972443868140855,60
nn_hewantedto_8abd471d,power,50,16,0.25445183787383546,60
nn_hewantedto_8abd471d,power,50,24,0.29463774727123315,60
nn_hewantedto_8abd471d,power,50,32,0.31752812930649554,60
nn_hewantedto_8abd471d,power,50,40,0.3315680175591596,60
nn_hewantedto_8abd471d,power,50,45,0.3391721554396235,60
nn_shewantedto_7df9b421,power,50,1,-1.6466819511764776,60
nn_shewantedto_7df9b421,power,50,2,-0.6336318834615565,60
nn_shewantedto_7df9b421,power,50,4,-0.12574280728343967,60
nn_shewantedto_7df9b421,power,50,8,0.17684337841154799,60
nn_shewantedto_7df9b421,power,50,12,0.2635992406813275,60
nn_shewantedto_7df9b421,power,50,16,0.30515345749749584,60
nn_shewantedto_7df9b421,power,50,24,0.3473529536490451,60
nn_shewantedto_7df9b421,power,50,32,0.3760860879327599,60
nn_shewantedto_7df9b421,power,50,40,0.3872926854949805,60
nn_shewantedto_7df9b421,power,50,45,0.3935670055364735,60
nn_onlyservesthe_26ac95f9,power,50,1,-2.2006082803556777,60
nn_onlyservesthe_26ac95f9,power,50,2,-0.9545487948751454,60
nn_onlyservesthe_26ac95f9,power,50,4,-0.3265404528777971,60
nn_onlyservesthe_26ac95f9,power,50,8,0.04195260394114526,60
nn_onlyservesthe_26ac95f9,power,50,12,0.15318267203492478,60
nn_onlyservesthe_26ac95f9,power,50,16,0.1994763934594651,60
nn_onlyservesthe_26ac95f9,power,50,24,0.26348972033759543,60
nn_onlyservesthe_26ac95f9,power,50,32,0.2893215569802085,60
nn_onlyservesthe_26ac95f9,power,50,40,0.30597920289186487,60
nn_onlyservesthe_26ac95f9,power,50,45,0.31261646557007133,60
nn_startedstrokinghis_70df8778,sexual,50,1,-3.101358093955876,60
nn_startedstrokinghis_70df8778,sexual,50,2,-1.3801027069039915,60
nn_startedstrokinghis_70df8778,sexual,50,4,-0.6299840095292677,60
nn_startedstrokinghis_70df8778,sexual,50,8,-0.20980038616333882,60
nn_startedstrokinghis_70df8778,sexual,50,12,-0.06827790799505658,60
nn_startedstrokinghis_70df8778,sexual,50,16,4.676485246762341e-05,60
nn_startedstrokinghis_70df8778,sexual,50,24,0.055989021761547804,60
