dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,A15-,8.511064902376257e-05,29,21,50,0.3222363203575469
lift,fields,en,A4.2+,3.1000924870069874e-05,29,21,50,0.3222363203575469
lift,fields,en,A5.2-,-6.541673271283935e-05,21,29,50,0.3222363203575469
lift,fields,en,F4,0.00011157128648068177,29,21,50,0.3222363203575469
lift,fields,en,G1.1,-0.0003394389126498322,21,29,50,0.3222363203575469
lift,fields,en,H2,0.0006800161286611443,29,21,50,0.3222363203575469
lift,fields,en,H5,-0.0002126270004445493,21,29,50,0.3222363203575469
lift,fields,en,L3,-0.00018023887579721642,21,29,50,0.3222363203575469
lift,fields,en,M4,0.00010825667622341868,29,21,50,0.3222363203575469
lift,fields,en,N1,0.00015286525918334495,29,21,50,0.3222363203575469
lift,fields,en,N3.8+,0.00019166468138052202,29,21,50,0.3222363203575469
lift,fields,en,O4.3,-0.00016883445933642721,21,29,50,0.3222363203575469
lift,fields,en,O4.5,7.578954979653121e-05,29,21,50,0.3222363203575469
lift,fields,en,Q1.3,6.288321103031113e-05,29,21,50,0.3222363203575469
lift,fields,en,S1.2.4+,0.00011595923617529466,29,21,50,0.3222363203575469
lift,fields,en,S9,-0.00014929690017849326,21,29,50,0.3222363203575469
lift,fields,en,T2+,-9.516449842166677e-05,21,29,50,0.3222363203575469
lift,fields,en,X2.5+,-0.00010785363123551392,21,29,50,0.3222363203575469
lift,fields,en,X2.6-,-0.0001672626765128504,21,29,50,0.3222363203575469
lift,fields,en,X4.1,4.636390840500412e-05,29,21,50,0.3222363203575469
lift,fields,en,X6+,-0.00014376430495278302,21,29,50,0.3222363203575469
lift,fields,en,Z7,0.0005274581448002139,29,21,50,0.3222363203575469
lift,fields,en,T4-,-0.0002570462682394989,15,22,37,0.3240086000878364
lift,fields,en,Z6cmf,5.017724146628531e-05,11,6,17,0.332305908203125
lift,fields,en,W2-,-0.002059697648032009,1,4,5,0.375
lift,fields,en,S2,8.779405627959472e-05,28,21,49,0.3916029105474905
