base,pref,domain,n_prompts,js_base_sft,js_base_pref,share
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,police,14,0.007177,0.010077,0.712195
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,power,252,0.006699,0.006402,1.046413
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,profanity,15,0.004244,0.00428,0.991429
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,property,208,0.006535,0.006131,1.065848
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,sensation,1,0.010024,0.006093,1.645216
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,sexual,157,0.006071,0.006025,1.007718
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,substance,15,0.007326,0.007101,1.031722
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,taboo,240,0.007255,0.007392,0.981424
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,unconditional,3,0.012399,0.01321,0.938627
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,utilities,14,0.009533,0.009443,1.009551
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,violence,505,0.006762,0.006731,1.004624
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,animal,100,0.063918,0.117238,0.545201
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,banking,14,0.027854,0.059937,0.464721
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,benefits,14,0.044756,0.060147,0.744115
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,betrayal,204,0.06443,0.102376,0.629344
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,civic,14,0.031973,0.050106,0.638115
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,class,30,0.100164,0.177227,0.565173
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,consumer,14,0.026677,0.039295,0.678901
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,contradiction,131,0.081552,0.107684,0.75733
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,death,13,0.056475,0.089239,0.632848
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,disaster,1,0.078423,0.100985,0.776588
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,education,14,0.032181,0.05235,0.614733
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,housing,42,0.045795,0.082905,0.552375
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,identity,4,0.07112,0.107127,0.663887
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,immigration,14,0.036321,0.053559,0.67815
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,institutional,93,0.091663,0.136028,0.673854
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,insurance,14,0.048655,0.060948,0.798299
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,labor,56,0.040972,0.070341,0.582479
