source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
C,C,M,M,32,49,673,1.0609,1.0703,0.0443842,letter,32
O,O,Q,Q,32,50,1996,1.0608,1.0930,0.0649086,letter,32
N,N,O-,O-,25,48,184,1.0607,0.6487,0.885433,letter,32
A+,A+,T-,T-,30,49,1237,1.0598,0.8472,0.152408,letter,32
Q,Q,A-,A-,33,50,2103,1.0587,0.9415,0.0328391,letter,32
X,X,A-,A-,26,49,1906,1.0575,0.6963,0.77545,letter,32
H,H,W-,W-,22,42,15,1.0575,1.0153,0.877614,letter,32
N-,N-,I,I,25,49,775,1.0574,0.8198,1,letter,32
L,L,H,H,27,49,217,1.0574,1.5012,0.568172,letter,32
M,M,Q,Q,33,49,2203,1.0574,1.2967,0.0212941,letter,32
K,K,O,O,28,49,824,1.0571,0.7980,0.391603,letter,32
X+,X+,O-,O-,25,48,306,1.0567,0.5850,0.885433,letter,32
G,G,S+,S+,27,49,853,1.0565,1.5219,0.568172,letter,32
I+,I+,S+,S+,21,40,25,1.0565,0.4246,0.874629,letter,32
A-,A-,C,C,28,49,382,1.0564,0.7005,0.391603,letter,32
C,C,X+,X+,28,48,507,1.0562,1.1793,0.312327,letter,32
M,M,L-,L-,26,49,657,1.0560,0.5388,0.77545,letter,32
Q,Q,M,M,36,49,2224,1.0559,0.8119,0.00140269,letter,32
A,A,X+,X+,33,49,2080,1.0559,0.9526,0.0212941,letter,32
E+,E+,X-,X-,25,49,739,1.0555,1.0375,1,letter,32
H,H,B-,B-,24,48,239,1.0548,1.3652,1,letter,32
H,H,A,A,30,50,1623,1.0539,1.0904,0.202639,letter,32
I,I,T-,T-,27,49,826,1.0538,1.0604,0.568172,letter,32
A,A,M,M,33,49,2261,1.0534,0.8279,0.0212941,letter,32
A,A,N+,N+,28,50,2112,1.0533,0.8275,0.479888,letter,32
E,E,N+,N+,26,48,192,1.0525,1.3520,0.665466,letter,32
T,T,O,O,29,49,833,1.0518,1.1376,0.25287,letter,32
Q,Q,Z,Z,30,50,2168,1.0515,0.9899,0.202639,letter,32
T,T,X+,X+,26,49,929,1.0514,1.1539,0.77545,letter,32
T+,T+,Q,Q,27,49,1704,1.0512,0.5101,0.568172,letter,32
S-,S-,A+,A+,25,49,1281,1.0506,1.1881,1,letter,32
E-,E-,H,H,28,49,1100,1.0501,1.2281,0.391603,letter,32
X+,X+,Y,Y,25,48,1116,1.0499,0.6827,0.885433,letter,32
M,M,S+,S+,35,49,2146,1.0499,1.2760,0.00380165,letter,32
Z,Z,N-,N-,28,49,920,1.0496,1.0790,0.391603,letter,32
F+,F+,S+,S+,21,40,44,1.0494,2.4430,0.874629,letter,32
A-,A-,A+,A+,31,49,2138,1.0484,0.8736,0.0854331,letter,32
O,O,N-,N-,27,49,1122,1.0478,0.9506,0.568172,letter,32
S+,S+,X-,X-,26,49,1193,1.0475,1.1860,0.77545,letter,32
M,M,T+,T+,29,49,1778,1.0470,1.3130,0.25287,letter,32
O,O,S+,S+,27,49,1891,1.0470,1.0502,0.568172,letter,32
L,L,A+,A+,27,49,399,1.0460,1.4023,0.568172,letter,32
S-,S-,O+,O+,26,49,463,1.0454,1.1359,0.77545,letter,32
Q,Q,O,O,29,49,2056,1.0453,0.9282,0.25287,letter,32
O+,O+,M,M,29,49,876,1.0450,0.9679,0.25287,letter,32
H,H,X+,X+,29,49,1409,1.0448,0.9618,0.25287,letter,32
M,M,E+,E+,32,49,1511,1.0447,1.1981,0.0443842,letter,32
B,B,K,K,28,49,730,1.0446,1.4171,0.391603,letter,32
T-,T-,A,A,27,49,1261,1.0445,1.1565,0.568172,letter,32
A,A,O,O,28,49,2046,1.0445,0.9158,0.391603,letter,32
B-,B-,A+,A+,28,49,519,1.0445,1.0736,0.391603,letter,32
X,X,X-,X-,31,49,1364,1.0436,1.0469,0.0854331,letter,32
O+,O+,G-,G-,24,46,197,1.0435,0.9075,0.882996,letter,32
G,G,S,S,26,49,702,1.0434,1.3939,0.77545,letter,32
O+,O+,Q,Q,30,49,799,1.0433,1.1517,0.152408,letter,32
F,F,S-,S-,26,49,473,1.0429,1.1063,0.77545,letter,32
