source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
L1-,Life and living things [-],A6.1+,Comparing:- Similar/different [+],21,47,125,0.8500,1.2412,0.560065,fine,32
E3-,Calm/Violent/Angry [-],I3.1-,Work and employment: Generally [-],21,47,134,0.8483,1.0155,0.560065,fine,32
E3-,Calm/Violent/Angry [-],X7-,Wanting; planning; choosing [-],19,45,84,0.8445,1.2653,0.371298,fine,32
L1-,Life and living things [-],A4.1,"Generally kinds, groups, examples",15,34,52,0.8432,1.7226,0.607591,fine,32
E3-,Calm/Violent/Angry [-],Y2,Information technology and computing,18,49,484,0.8425,0.8529,0.0854331,fine,32
E3-,Calm/Violent/Angry [-],N2,Mathematics,16,34,33,0.8423,0.7446,0.864166,fine,32
E3-,Calm/Violent/Angry [-],O4.3,Colour and colour patterns,20,43,82,0.8394,0.7923,0.760792,fine,32
L1-,Life and living things [-],Z5,Grammatical bin,11,49,515,0.8375,1.4438,0.000141971,fine,32
L1-,Life and living things [-],I3.1,Work and employment: Generally,19,46,119,0.8365,1.2723,0.301996,fine,32
E3-,Calm/Violent/Angry [-],X3.3,Sensory:- Touch,20,48,74,0.8364,1.0969,0.312327,fine,32
E3-,Calm/Violent/Angry [-],S1.1.3-,Participation [-],19,43,96,0.8333,0.7690,0.542384,fine,32
E3-,Calm/Violent/Angry [-],I2.2,Business: Selling,20,47,170,0.8330,0.8860,0.381693,fine,32
E3-,Calm/Violent/Angry [-],A1.9,Avoiding,21,45,62,0.8326,1.6302,0.765992,fine,32
L1-,Life and living things [-],S7.4+,Permission [+],16,48,267,0.8260,1.9995,0.0293049,fine,32
L1-,Life and living things [-],M4,"Shipping, swimming etc.",20,47,88,0.8256,1.5116,0.381693,fine,32
E3-,Calm/Violent/Angry [-],O4.2+,Judgement of appearance (pretty etc.) [+],14,46,328,0.8220,0.7854,0.0113516,fine,32
E3-,Calm/Violent/Angry [-],X2.6-,Expect [-],10,27,26,0.8209,0.8170,0.247789,fine,32
L1-,Life and living things [-],X7-,Wanting; planning; choosing [-],17,41,49,0.8191,3.0425,0.348889,fine,32
L1-,Life and living things [-],A6.1-,Comparing:- Similar/different [-],21,48,109,0.8180,1.4569,0.470879,fine,32
E3-,Calm/Violent/Angry [-],E2-,Liking [-],19,48,103,0.8154,0.5889,0.193413,fine,32
L1-,Life and living things [-],G2.1-,"Crime, law and order: Law and order [-]",20,48,153,0.8121,1.0637,0.312327,fine,32
L1-,Life and living things [-],X5.2+,Interest/boredom/excited/energetic [+],17,37,42,0.8090,1.7729,0.742829,fine,32
E3-,Calm/Violent/Angry [-],Z3c,Other proper names [c],18,48,221,0.8072,1.0039,0.111403,fine,32
E3-,Calm/Violent/Angry [-],E4.1-,Happy/sad: Happy [-],17,48,301,0.8065,0.6172,0.0594634,fine,32
E3-,Calm/Violent/Angry [-],S1.1.2+,Reciprocity [+],19,46,112,0.8052,1.4808,0.301996,fine,32
E3-,Calm/Violent/Angry [-],S8-,Helping/hindering [-],20,49,217,0.8049,0.8688,0.25287,fine,32
L1-,Life and living things [-],A2.1,"Affect:- Modify, change",19,49,173,0.8049,1.6122,0.152408,fine,32
E3-,Calm/Violent/Angry [-],Z5,Grammatical bin,13,49,884,0.8038,1.0729,0.00140269,fine,32
E3-,Calm/Violent/Angry [-],M3,Vehicles and transport on land,17,47,207,0.8019,0.5004,0.0789407,fine,32
E3-,Calm/Violent/Angry [-],A6.1-,Comparing:- Similar/different [-],14,47,182,0.7966,0.7526,0.00794273,fine,32
L1-,Life and living things [-],X3.2-,Sensory:- Sound [-],16,45,176,0.7953,2.8606,0.0724543,fine,32
E3-,Calm/Violent/Angry [-],T2++,Time: Beginning and ending [++],16,48,305,0.7908,0.8085,0.0293049,fine,32
L1-,Life and living things [-],M6,Location and direction,22,48,420,0.7901,1.4234,0.665466,fine,32
L1-,Life and living things [-],S7.2-,Respect [-],10,26,17,0.7897,2.0798,0.32694,fine,32
L1-,Life and living things [-],X6+,Deciding [+],18,46,103,0.7865,1.8139,0.183925,fine,32
L1-,Life and living things [-],N5++,Quantities [++],18,45,78,0.7859,0.9835,0.232693,fine,32
