source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
W-,W-,S+,S+,6,30,12,0.0000,0.0000,0.00143091,letter,32
B+,B+,Y,Y,9,30,10,0.0000,0.0000,0.0427739,letter,32
I+,I+,T+,T+,8,33,13,0.0000,0.0000,0.00455138,letter,32
W-,W-,W,W,3,36,10,0.0000,0.0000,2.27214e-07,letter,32
G+,G+,S-,S-,5,39,14,0.0000,0.0000,2.42991e-06,letter,32
B+,B+,F,F,12,34,23,0.0000,0.0000,0.121449,letter,32
F-,F-,E-,E-,9,31,24,0.0000,0.0000,0.0294494,letter,32
F-,F-,A-,A-,6,31,30,0.0000,0.0000,0.00087791,letter,32
E+,E+,B+,B+,7,32,22,0.0000,0.0000,0.0021024,letter,32
K,K,I+,I+,7,25,13,0.0000,0.0000,0.0432853,letter,32
W-,W-,N+,N+,5,37,12,0.0000,0.0000,7.42753e-06,letter,32
F-,F-,S,S,5,32,30,0.0000,0.0000,0.000113074,letter,32
I-,I-,I+,I+,4,27,10,0.0000,0.0000,0.000310749,letter,32
C,C,L+,L+,12,36,14,0.0000,0.0000,0.0652453,letter,32
T-,T-,I+,I+,10,31,25,0.0000,0.0000,0.0707555,letter,32
W-,W-,N-,N-,9,31,10,0.0000,0.0000,0.0294494,letter,32
E-,E-,I+,I+,12,29,16,0.0000,0.0000,0.458258,letter,32
F+,F+,T-,T-,5,29,13,0.0000,0.0000,0.000546113,letter,32
E,E,L+,L+,6,47,26,0.0000,0.0000,1.7717e-07,letter,32
T,T,W-,W-,6,38,12,0.0000,0.0000,2.43426e-05,letter,32
O+,O+,F+,F+,10,27,21,0.0000,0.0000,0.247789,letter,32
P,P,L+,L+,11,42,21,0.0000,0.0000,0.00288725,letter,32
G-,G-,G+,G+,5,26,13,0.0000,0.0000,0.00249392,letter,32
L,L,L+,L+,10,40,12,0.0000,0.0000,0.00222143,letter,32
B+,B+,T+,T+,7,36,12,0.0000,0.0000,0.000312551,letter,32
Q,Q,F+,F+,8,26,26,0.0000,0.0000,0.0755187,letter,32
I+,I+,O,O,8,35,15,0.0000,0.0000,0.00187823,letter,32
Y,Y,B+,B+,11,28,12,0.0000,0.0000,0.344928,letter,32
G-,G-,L+,L+,12,45,19,0.0000,0.0000,0.0024589,letter,32
F,F,B+,B+,11,32,24,0.0000,0.0000,0.110184,letter,32
G+,G+,E-,E-,9,33,16,0.0000,0.0000,0.013531,letter,32
E+,E+,I+,I+,5,25,12,0.0000,0.0000,0.00407732,letter,32
O-,O-,I-,I-,12,40,23,0.0000,0.0000,0.016589,letter,32
N+,N+,F-,F-,9,25,18,0.0000,0.0000,0.229523,letter,32
K,K,F+,F+,6,25,11,0.0000,0.0000,0.0146333,letter,32
T,T,B+,B+,11,35,19,0.0000,0.0000,0.0409596,letter,32
E-,E-,F-,F-,7,29,14,0.0000,0.0000,0.00813006,letter,32
X-,X-,G+,G+,13,36,20,0.0000,0.0000,0.132498,letter,32
N+,N+,F+,F+,10,26,15,0.0000,0.0000,0.32694,letter,32
N-,N-,I+,I+,6,34,14,0.0000,0.0000,0.000195126,letter,32
G+,G+,E+,E+,11,38,11,0.0000,0.0000,0.013853,letter,32
G+,G+,N+,N+,9,37,19,0.0000,0.0000,0.00256321,letter,32
K,K,W-,W-,13,34,10,0.0000,0.0000,0.229481,letter,32
I-,I-,L+,L+,9,36,16,0.0000,0.0000,0.00393317,letter,32
B+,B+,E+,E+,10,35,31,0.0000,0.0000,0.0166738,letter,32
O+,O+,B+,B+,9,34,22,0.0000,0.0000,0.00904119,letter,32
S-,S-,B+,B+,8,35,22,0.0000,0.0000,0.00187823,letter,32
O-,O-,P,P,8,30,14,0.0000,0.0000,0.0161248,letter,32
I+,I+,N,N,7,35,16,0.0000,0.0000,0.00050826,letter,32
I+,I+,I,I,10,38,15,0.0000,0.0000,0.00509764,letter,32
T+,T+,B+,B+,11,34,14,0.0000,0.0000,0.0576127,letter,32
F+,F+,N,N,8,31,18,0.0000,0.0000,0.0106738,letter,32
X,X,F+,F+,4,26,10,0.0000,0.0000,0.000533521,letter,32
P,P,W,W,11,38,25,0.0000,0.0000,0.013853,letter,32
W-,W-,N,N,9,38,12,0.0000,0.0000,0.00165805,letter,32
K,K,B+,B+,8,33,27,0.0000,0.0000,0.00455138,letter,32
F+,F+,I,I,11,32,16,0.0000,0.0000,0.110184,letter,32
G+,G+,S,S,6,39,19,0.0000,0.0000,1.42993e-05,letter,32
S,S,F+,F+,5,25,11,0.0000,0.0000,0.00407732,letter,32
N-,N-,G+,G+,10,29,10,0.0000,0.0000,0.136046,letter,32
L+,L+,I-,I-,6,36,21,0.0000,0.0000,6.96017e-05,letter,32
E+,E+,W-,W-,11,32,11,0.0000,0.0000,0.110184,letter,32
T-,T-,B+,B+,12,35,24,0.0000,0.0000,0.0895311,letter,32
E-,E-,B+,B+,11,35,18,0.0000,0.0000,0.0409596,letter,32
